nombre,poblacion,superficie,continente
Argentina,46600000,2780400,América
Brasil,214000000,8515767,América
Chile,19700000,756096,América
Uruguay,3500000,176215,América
Paraguay,7300000,406752,América
Bolivia,12400000,1098581,América
Perú,34100000,1285216,América
Colombia,52300000,1141748,América
Venezuela,28600000,916445,América
Ecuador,18500000,283561,América
México,131000000,1964375,América
Estados Unidos,334000000,9833517,América
Canadá,39000000,9984670,América
España,47800000,505990,Europa
Francia,65400000,551695,Europa
Alemania,84000000,357022,Europa
Italia,59200000,301340,Europa
Reino Unido,68300000,243610,Europa
Portugal,10400000,92212,Europa
Países Bajos,17800000,41543,Europa
Bélgica,11700000,30528,Europa
Suiza,8900000,41285,Europa
Suecia,10400000,450295,Europa
Noruega,5500000,385207,Europa
Dinamarca,5900000,42933,Europa
Finlandia,5500000,338424,Europa
Polonia,37900000,312696,Europa
Grecia,10400000,131957,Europa
Turquía,86400000,783562,Asia
Rusia,145000000,17098242,Europa/Asia
China,1412000000,9596961,Asia
India,1440000000,3287263,Asia
Japón,125000000,377975,Asia
Corea del Sur,52200000,100210,Asia
Corea del Norte,26000000,120538,Asia
Indonesia,281000000,1904569,Asia
Filipinas,118000000,300000,Asia
Tailandia,70200000,513120,Asia
Vietnam,100000000,331212,Asia
Malasia,34900000,330803,Asia
Singapur,6000000,728,Asia
Arabia Saudita,37000000,2149690,Asia
Irán,88000000,1648195,Asia
Israel,9700000,22072,Asia
Emiratos Árabes Unidos,9900000,83600,Asia
Sudáfrica,61500000,1221037,África
Egipto,112000000,1002450,África
Nigeria,229000000,923768,África
Etiopía,125000000,1104300,África
Kenia,58000000,580367,África
Ghana,35000000,238533,África
Marruecos,38000000,446550,África
Argelia,46000000,2381741,África
Túnez,12500000,163610,África
Libia,7200000,1759540,África
Sudán,46000000,1861484,África
Camerún,29000000,475442,África
Australia,26700000,7692024,Oceanía
Nueva Zelanda,5300000,268838,Oceanía
Papúa Nueva Guinea,9600000,462840,Oceanía
Fiyi,940000,18274,Oceanía
Samoa,225000,2842,Oceanía
